name,lon,lat,east_disp,north_disp,up_disp,east_sig,north_sig,up_sig,
"ALBH",236.513,48.389,-4.321,-4.5596,0,0.08626,0.061005,1,
"ARLI",237.8582,48.174,-3.8941,-2.0075,0,0.051782,0.049042,1,
"ASHL",237.3299,42.1806,0,0,0,1,1,1,
"BAMF",234.8649,48.8353,0,0,0,1,1,1,
"BAYV",237.5426,48.0019,0,0,0,1,1,1,
"BCES",236.5719,48.4293,0,0,0,1,1,1,
"BCIT",237.8089,47.6139,-3.038,-0.70572,0,0.09582,0.077152,1,
"BCLC",237.3433,49.1038,0,0,0,1,1,1,
"BCLI",236.8535,49.1151,0,0,0,1,1,1,
"BCMR",237.4621,49.2212,0,0,0,1,1,1,
"BCNS",236.5496,48.6485,0,0,0,1,1,1,
"BCOV",233.1574,50.5442,0,0,0,1,1,1,
"BCPH",232.625,50.6851,0,0,0,1,1,1,
"BCSF",237.1405,49.1921,0,0,0,1,1,1,
"BCSM",236.2011,48.5595,0,0,0,1,1,1,
"BCVC",236.9113,49.2758,0,0,0,1,1,1,
"BELI",237.5211,48.7552,-3.7768,-3.2755,0,0.064432,0.078145,1,
"BFIR",237.875,47.6173,-4.1433,-1.5128,0,0.051526,0.053226,1,
"BILS",235.7475,47.5393,0,0,0,1,1,1,
"BLVU",237.8172,47.5989,0,0,0,1,1,1,
"BRN3",236.9845,49.2698,0,0,0,1,1,1,
"BRNB",236.9782,49.275,0,0,0,1,1,1,
"BSUM",237.8676,47.554,-3.6617,-1.4425,0,0.035005,0.032062,1,
"BTON",237.203,45.4858,0,0,0,1,1,1,
"CABL",235.4367,42.836,0,0,0,1,1,1,
"CATH",236.6328,46.1972,0,0,0,1,1,1,
"CH2M",238.1739,47.5266,0,0,0,1,1,1,
"CHCM",237.2242,48.0106,-7.05,-2.8859,0,0.073851,0.069782,1,
"CHEM",238.2142,43.2243,0,0,0,1,1,1,
"CHST",237.0905,46.6121,0,0,0,1,1,1,
"CHWK",237.9916,49.1566,0,0,0,1,1,1,
"CHZZ",236.0219,45.4865,0,0,0,1,1,1,
"CLCV",237.9107,42.9759,0,0,0,1,1,1,
"CLHQ",237.864,42.8959,0,0,0,1,1,1,
